instructorid,instructorname,contactno,password
CSE0001,instructor1,9999999999,root
CSE0002,instructor2,9999999999,root
CSE0003,instructor3,9999999999,root
CSE0004,instructor4,9999999999,root
CSE0005,instructor5,9999999999,root
CSE0006,instructor6,9999999999,root
CSE0007,instructor7,9999999999,root
CSE0008,instructor8,9999999999,root
CSE0009,instructor9,9999999999,root
CSE0010,instructor10,9999999999,root
CSE0011,instructor11,9999999999,root
CSE0012,instructor12,9999999999,root
ELE0001,instructor12,9999999999,root
ELE0002,instructor13,9999999999,root
ELE0003,instructor14,9999999999,root
ELE0004,instructor15,9999999999,root
ELE0005,instructor16,9999999999,root
ELE0006,instructor17,9999999999,root
ELE0007,instructor18,9999999999,root
CHE001,instructor19,9999999999,root
CHE002,instructor20,9999999999,root
CHE003,instructor21,9999999999,root
CHE004,instructor22,9999999999,root
CHE005,instructor23,9999999999,root
CIV001,instructor24,9999999999,root
CIV002,instructor25,9999999999,root
CIV003,instructor26,9999999999,root
CIV004,instructor27,9999999999,root
CIV005,instructor28,9999999999,root
MAT001,instructor29,9999999999,root
MAT002,instructor30,9999999999,root
MAT003,instructor31,9999999999,root
MAT004,instructor32,9999999999,root
MAT005,instructor33,9999999999,root
PHY001,instructor34,9999999999,root
PHY002,instructor35,9999999999,root
PHY003,instructor36,9999999999,root
PHY004,instructor37,9999999999,root
PHY005,instructor38,9999999999,root
CHM001,instructor39,9999999999,root
CHM002,instructor40,9999999999,root
CHM003,instructor41,9999999999,root
CHM004,instructor42,9999999999,root
CHM005,instructor43,9999999999,root
MME001,instructor44,9999999999,root
MME002,instructor45,9999999999,root
MME003,instructor46,9999999999,root
MME004,instructor47,9999999999,root
MME005,instructor48,9999999999,root
MEC001,instructor49,9999999999,root
MEC002,instructor50,9999999999,root
MEC003,instructor51,9999999999,root
MEC004,instructor52,9999999999,root
MEC005,instructor53,9999999999,root
BME001,instructor54,9999999999,root
BME002,instructor55,9999999999,root
BME003,instructor56,9999999999,root
BME004,instructor57,9999999999,root
BME005,instructor58,9999999999,root
HSS001,instructor59,9999999999,root
HSS002,instructor60,9999999999,root
HSS003,instructor61,9999999999,root
HSS004,instructor62,9999999999,root
HSS005,instructor63,9999999999,root
