"studentid","studentname","contactinfo","password"
"2020csb1000","Charlie Lee","7350821493","root"
"2020csb1001","David Jones","2449079741","root"
"2020csb1002","Bob Johnson","3004201275","root"
"2020csb1003","Eve Smith","5029466579","root"
"2020csb1004","Alice Kim","7043963495","root"
"2020csb1005","Alice Johnson","3164883371","root"
"2020csb1006","Bob Smith","5300497722","root"
"2020csb1007","Bob Lee","4901814309","root"
"2020csb1008","Charlie Lee","3135383463","root"
"2020csb1009","Alice Smith","1718589820","root"
"2020csb1010","Alice Lee","2562801123","root"
"2020csb1011","Alice Johnson","2582677406","root"
"2020csb1012","Eve Jones","7224089926","root"
"2020csb1013","David Lee","8116296951","root"
"2020csb1014","Bob Johnson","8266440034","root"
"2020csb1015","Alice Lee","9244375987","root"
"2020csb1016","Alice Kim","1375938715","root"
"2020csb1017","Bob Lee","2667659137","root"
"2020csb1018","Alice Jones","9066104410","root"
"2020csb1019","Alice Johnson","1179435267","root"
"2020csb1020","Eve Lee","4924256650","root"
